Time (fs=25),thermal_camera,chest_belt
82.4,-0.64326,0.76799
82.44,-0.6405,0.796
82.48,-0.63762,0.82097
82.52,-0.63464,0.84301
82.56,-0.63158,0.86141
82.6,-0.62845,0.87675
82.64,-0.62526,0.88825
82.68,-0.62198,0.89634
82.72,-0.61862,0.90084
82.76,-0.61513,0.90162
82.8,-0.61149,0.89896
82.84,-0.60764,0.89233
82.88,-0.60354,0.88239
82.92,-0.59912,0.86867
82.96,-0.59434,0.85162
83,-0.5891,0.83127
83.04,-0.58336,0.80726
83.08,-0.57702,0.78053
83.12,-0.57002,0.75033
83.16,-0.56228,0.71764
83.2,-0.55371,0.68223
83.24,-0.54426,0.64391
83.28,-0.53384,0.60387
83.32,-0.52238,0.56106
83.36,-0.50983,0.5169
83.4,-0.49612,0.47098
83.44,-0.4812,0.42316
83.48,-0.46502,0.37483
83.52,-0.44755,0.32471
83.56,-0.42875,0.27448
83.6,-0.40862,0.22358
83.64,-0.38712,0.17192
83.68,-0.36427,0.12093
83.72,-0.34007,0.069198
83.76,-0.31453,0.018518
83.8,-0.2877,-0.031816
83.84,-0.25959,-0.081862
83.88,-0.23028,-0.13026
83.92,-0.1998,-0.17848
83.96,-0.16823,-0.22476
84,-0.13565,-0.26993
84.04,-0.10214,-0.31398
84.08,-0.067803,-0.35577
84.12,-0.032738,-0.39672
84.16,0.0029424,-0.43522
84.2,0.039119,-0.4722
84.24,0.075667,-0.50751
84.28,0.11245,-0.5404
84.32,0.14934,-0.57209
84.36,0.18619,-0.60122
84.4,0.22285,-0.6288
84.44,0.25918,-0.65447
84.48,0.29502,-0.67795
84.52,0.33023,-0.70017
84.56,0.36464,-0.72005
84.6,0.39811,-0.73866
84.64,0.43049,-0.75537
84.68,0.46162,-0.77042
84.72,0.49137,-0.78436
84.76,0.51958,-0.7964
84.8,0.54614,-0.80764
84.84,0.5709,-0.81715
84.88,0.59375,-0.82564
84.92,0.61456,-0.83328
84.96,0.63324,-0.83954
85,0.64969,-0.8455
85.04,0.66382,-0.84994
85.08,0.67555,-0.85399
85.12,0.68483,-0.85741
85.16,0.69159,-0.85992
85.2,0.6958,-0.8625
85.24,0.69743,-0.86374
85.28,0.69646,-0.86503
85.32,0.6929,-0.8658
85.36,0.68675,-0.86597
85.4,0.67805,-0.86636
85.44,0.66682,-0.86548
85.48,0.65313,-0.86483
85.52,0.63703,-0.8636
85.56,0.6186,-0.86186
85.6,0.59792,-0.86022
85.64,0.57511,-0.85727
85.68,0.55027,-0.85444
85.72,0.52352,-0.85076
85.76,0.49498,-0.84651
85.8,0.4648,-0.84197
85.84,0.43312,-0.83596
85.88,0.40009,-0.82976
85.92,0.36585,-0.82229
85.96,0.33058,-0.81404
86,0.29442,-0.80495
86.04,0.25754,-0.79419
86.08,0.2201,-0.7828
86.12,0.18224,-0.76967
86.16,0.14414,-0.75553
86.2,0.10593,-0.73994
86.24,0.067755,-0.72255
86.28,0.029764,-0.70408
86.32,-0.0079172,-0.68346
86.36,-0.045166,-0.66169
86.4,-0.081867,-0.63798
86.44,-0.11792,-0.61244
86.48,-0.15322,-0.58556
86.52,-0.18769,-0.55628
86.56,-0.22124,-0.5259
86.6,-0.25383,-0.49331
86.64,-0.28538,-0.45912
86.68,-0.31586,-0.42354
86.72,-0.34523,-0.38563
86.76,-0.37345,-0.34691
86.8,-0.40053,-0.30605
86.84,-0.42643,-0.26404
86.88,-0.45116,-0.22095
86.92,-0.47473,-0.17592
86.96,-0.49715,-0.13064
87,-0.51843,-0.083656
87.04,-0.53859,-0.036257
87.08,-0.55765,0.011625
87.12,-0.57565,0.060724
87.16,-0.59262,0.10929
87.2,-0.60858,0.15876
87.24,-0.62356,0.20774
87.28,-0.63761,0.25634
87.32,-0.65073,0.30516
87.36,-0.66297,0.35254
87.4,-0.67435,0.39979
87.44,-0.68488,0.44553
87.48,-0.6946,0.48991
87.52,-0.7035,0.53338
87.56,-0.7116,0.57449
87.6,-0.71891,0.61435
87.64,-0.72543,0.65171
87.68,-0.73115,0.68679
87.72,-0.73606,0.71982
87.76,-0.74015,0.74975
87.8,-0.7434,0.77739
87.84,-0.74578,0.80173
87.88,-0.74728,0.82309
87.92,-0.74785,0.84147
87.96,-0.74746,0.85629
88,-0.74608,0.86809
88.04,-0.74367,0.87609
88.08,-0.74018,0.88078
88.12,-0.73557,0.88192
88.16,-0.72981,0.87948
88.2,-0.72284,0.87368
88.24,-0.71464,0.86403
88.28,-0.70515,0.85121
88.32,-0.69435,0.83471
88.36,-0.68221,0.81507
88.4,-0.66868,0.79223
88.44,-0.65376,0.76592
88.48,-0.63741,0.73706
88.52,-0.61963,0.70486
88.56,-0.60041,0.67037
88.6,-0.57974,0.63329
88.64,-0.55764,0.59349
88.68,-0.5341,0.55214
88.72,-0.50915,0.50815
88.76,-0.48282,0.463
88.8,-0.45513,0.41618
88.84,-0.42613,0.36766
88.88,-0.39586,0.31873
88.92,-0.36437,0.26811
88.96,-0.33174,0.21753
89,-0.29801,0.1663
89.04,-0.26327,0.11447
89.08,-0.2276,0.063328
89.12,-0.19109,0.011477
89.16,-0.15382,-0.039246
89.2,-0.1159,-0.089689
89.24,-0.077416,-0.13974
89.28,-0.03849,-0.18822
89.32,0.00077222,-0.23655
89.36,0.040255,-0.28295
89.4,0.079839,-0.32838
89.44,0.11941,-0.37263
89.48,0.15883,-0.41479
89.52,0.19799,-0.45618
89.56,0.23675,-0.49518
89.6,0.27499,-0.53287
89.64,0.31258,-0.56886
89.68,0.3494,-0.60262
89.72,0.38531,-0.63528
89.76,0.42019,-0.66544
89.8,0.45393,-0.69425
89.84,0.48639,-0.72113
89.88,0.51747,-0.74598
89.92,0.54704,-0.76963
89.96,0.575,-0.79098
90,0.60125,-0.81119
90.04,0.62568,-0.82943
90.08,0.6482,-0.84608
90.12,0.66873,-0.8616
90.16,0.68718,-0.87517
90.2,0.70348,-0.88794
90.24,0.71757,-0.89882
90.28,0.72939,-0.90863
90.32,0.73888,-0.91742
90.36,0.74601,-0.92467
90.4,0.75075,-0.93142
90.44,0.75307,-0.93642
90.48,0.75297,-0.94078
90.52,0.75043,-0.94418
90.56,0.74548,-0.9464
90.6,0.73811,-0.94827
90.64,0.72837,-0.94847
90.68,0.71629,-0.9483
90.72,0.70191,-0.94711
90.76,0.6853,-0.94495
90.8,0.66652,-0.94239
90.84,0.64566,-0.93816
90.88,0.62278,-0.9336
90.92,0.598,-0.92782
90.96,0.5714,-0.92112
91,0.54311,-0.91376
91.04,0.51323,-0.90466
91.08,0.48188,-0.89508
91.12,0.4492,-0.88394
91.16,0.41532,-0.87183
91.2,0.38036,-0.85863
91.24,0.34448,-0.84361
91.28,0.30779,-0.82781
91.32,0.27045,-0.8101
91.36,0.2326,-0.79133
91.4,0.19436,-0.771
91.44,0.15588,-0.74881
91.48,0.11729,-0.72556
91.52,0.078702,-0.70008
91.56,0.040252,-0.67354
91.6,0.0020521,-0.64507
91.64,-0.03579,-0.61481
91.68,-0.073173,-0.58334
91.72,-0.11,-0.54952
91.76,-0.14619,-0.51477
91.8,-0.18167,-0.47794
91.84,-0.21636,-0.43961
91.88,-0.2502,-0.40014
91.92,-0.28315,-0.35846
91.96,-0.31515,-0.31621
92,-0.34619,-0.27204
92.04,-0.37622,-0.22691
92.08,-0.40523,-0.18098
92.12,-0.43321,-0.1333
92.16,-0.46015,-0.085666
92.2,-0.48605,-0.036598
92.24,-0.51092,0.012661
92.28,-0.53477,0.062083
92.32,-0.55762,0.11248
92.36,-0.57948,0.16204
92.4,-0.60037,0.21222
92.44,-0.62031,0.26165
92.48,-0.63933,0.31039
92.52,-0.65746,0.35909
92.56,-0.67471,0.40607
92.6,-0.6911,0.45264
92.64,-0.70667,0.49744
92.68,-0.72142,0.54064
92.72,-0.73537,0.58266
92.76,-0.74854,0.62211
92.8,-0.76092,0.66007
92.84,-0.77252,0.69532
92.88,-0.78334,0.72812
92.92,-0.79338,0.75868
92.96,-0.80261,0.786
93,-0.81103,0.81089
93.04,-0.8186,0.83234
93.08,-0.82531,0.85075
93.12,-0.83111,0.86608
93.16,-0.83597,0.87783
93.2,-0.83985,0.88653
93.24,-0.84269,0.89141
93.28,-0.84446,0.89304
93.32,-0.84509,0.89113
93.36,-0.84453,0.88573
93.4,-0.84272,0.87708
93.44,-0.83961,0.86463
93.48,-0.83515,0.84921
93.52,-0.82926,0.83022
93.56,-0.8219,0.80828
93.6,-0.81301,0.78336
93.64,-0.80254,0.7551
93.68,-0.79045,0.72457
93.72,-0.77669,0.69089
93.76,-0.76122,0.65516
93.8,-0.74401,0.61714
93.84,-0.72504,0.57658
93.88,-0.70428,0.53477
93.92,-0.68173,0.49057
93.96,-0.65738,0.44546
94,-0.63123,0.399
94.04,-0.6033,0.35101
94.08,-0.57362,0.30293
94.12,-0.5422,0.2534
94.16,-0.5091,0.20413
94.2,-0.47437,0.15453
94.24,-0.43806,0.10447
94.28,-0.40024,0.055369
94.32,-0.361,0.0057854
94.36,-0.32041,-0.042515
94.4,-0.27858,-0.090266
94.44,-0.23561,-0.13753
94.48,-0.19162,-0.18302
94.52,-0.14671,-0.2282
94.56,-0.10102,-0.27135
94.6,-0.054688,-0.31335
94.64,-0.0078422,-0.35414
94.68,0.039368,-0.39272
94.72,0.086793,-0.43044
94.76,0.13428,-0.46576
94.8,0.18167,-0.49967
94.84,0.22881,-0.53192
94.88,0.27552,-0.56193
94.92,0.32166,-0.59083
94.96,0.36704,-0.61732
95,0.41151,-0.64247
95.04,0.4549,-0.66579
95.08,0.49705,-0.6872
95.12,0.5378,-0.70749
95.16,0.57698,-0.72565
95.2,0.61444,-0.74281
95.24,0.65003,-0.75818
95.28,0.6836,-0.7722
95.32,0.71501,-0.78528
95.36,0.74413,-0.79668
95.4,0.77083,-0.80756
95.44,0.795,-0.81683
95.48,0.81651,-0.82537
95.52,0.83528,-0.83325
95.56,0.8512,-0.83993
95.6,0.86422,-0.8466
95.64,0.87424,-0.85183
95.68,0.88123,-0.85693
95.72,0.88514,-0.8616
95.76,0.88594,-0.86549
95.8,0.88362,-0.86973
95.84,0.87817,-0.87269
95.88,0.86961,-0.87593
95.92,0.85796,-0.87884
95.96,0.84328,-0.88124
96,0.82562,-0.88413
96.04,0.80505,-0.88578
96.08,0.78165,-0.88787
96.12,0.75554,-0.88956
96.16,0.72682,-0.89081
96.2,0.69562,-0.89243
96.24,0.66208,-0.89274
96.28,0.62635,-0.89337
96.32,0.5886,-0.89333
96.36,0.549,-0.89275
96.4,0.50771,-0.89216
96.44,0.46493,-0.89007
96.48,0.42085,-0.88797
96.52,0.37567,-0.88476
96.56,0.32956,-0.88078
96.6,0.28275,-0.87621
96.64,0.23541,-0.86992
96.68,0.18775,-0.86313
96.72,0.13995,-0.85472
96.76,0.092211,-0.84526
96.8,0.044707,-0.83455
96.84,-0.0023871,-0.82191
96.88,-0.048902,-0.80827
96.92,-0.094679,-0.79251
96.96,-0.13957,-0.77548
97,-0.18343,-0.75659
97.04,-0.22614,-0.73567
97.08,-0.26757,-0.71335
97.12,-0.30763,-0.68853
97.16,-0.34621,-0.66239
97.2,-0.38324,-0.63394
97.24,-0.41864,-0.60355
97.28,-0.45236,-0.57157
97.32,-0.48435,-0.53697
97.36,-0.51457,-0.50121
97.4,-0.54301,-0.46299
97.44,-0.56965,-0.42317
97.48,-0.59449,-0.38186
97.52,-0.61754,-0.33812
97.56,-0.63881,-0.29364
97.6,-0.65832,-0.24692
97.64,-0.67611,-0.19919
97.68,-0.69221,-0.15041
97.72,-0.70667,-0.099727
97.76,-0.71954,-0.049004
97.8,-0.73087,0.0033794
97.84,-0.7407,0.055922
97.88,-0.74911,0.10877
97.92,-0.75614,0.16268
97.96,-0.76185,0.21572
98,-0.7663,0.26952
98.04,-0.76955,0.32245
98.08,-0.77165,0.37473
98.12,-0.77266,0.42696
98.16,-0.77262,0.47736
98.2,-0.77159,0.52737
98.24,-0.76959,0.57542
98.28,-0.76668,0.6218
98.32,-0.76289,0.66691
98.36,-0.75824,0.70925
98.4,-0.75276,0.75004
98.44,-0.74647,0.78786
98.48,-0.73939,0.82308
98.52,-0.73152,0.85589
98.56,-0.72288,0.88519
98.6,-0.71347,0.91194
98.64,-0.70328,0.93493
98.68,-0.69231,0.95469
98.72,-0.68055,0.97113
98.76,-0.668,0.98372
98.8,-0.65463,0.99307
98.84,-0.64044,0.99825
98.88,-0.62541,1
98.92,-0.60953,0.99793
98.96,-0.59278,0.99211
99,-0.57514,0.98285
99.04,-0.55661,0.96947
99.08,-0.53718,0.95294
99.12,-0.51683,0.93258
99.16,-0.49557,0.90905
99.2,-0.47339,0.88239
99.24,-0.45029,0.85208
99.28,-0.42629,0.8194
99.32,-0.40139,0.78335
99.36,-0.37561,0.7451
99.4,-0.34896,0.70445
99.44,-0.32149,0.66102
99.48,-0.29322,0.61631
99.52,-0.26419,0.56904
99.56,-0.23443,0.52079
99.6,-0.20401,0.47115
99.64,-0.17298,0.41981
99.68,-0.14139,0.36842
99.72,-0.10932,0.31547
99.76,-0.076819,0.26279
99.8,-0.043979,0.20979
99.84,-0.010873,0.15622
99.88,0.022414,0.10372
99.92,0.055796,0.050685
99.96,0.089184,-0.0010039
100,0.12248,-0.05208
100.04,0.1556,-0.10272
100.08,0.18843,-0.15143
100.12,0.22089,-0.19984
100.16,0.25287,-0.24611
100.2,0.28426,-0.29113
100.24,0.31498,-0.33495
100.28,0.34492,-0.37638
100.32,0.37398,-0.41691
100.36,0.40205,-0.45493
100.4,0.42906,-0.4914
100.44,0.4549,-0.52618
100.48,0.47948,-0.55854
100.52,0.50271,-0.58973
100.56,0.52452,-0.61836
100.6,0.54482,-0.64551
100.64,0.56354,-0.67079
100.68,0.5806,-0.69395
100.72,0.59595,-0.71592
100.76,0.60953,-0.73561
100.8,0.62128,-0.75415
100.84,0.63117,-0.77083
100.88,0.63914,-0.78596
100.92,0.64517,-0.80005
100.96,0.64924,-0.81231
101,0.65134,-0.82387
101.04,0.65144,-0.83374
101.08,0.64956,-0.84268
101.12,0.6457,-0.85081
101.16,0.63988,-0.8576
101.2,0.63212,-0.86413
101.24,0.62245,-0.86915
101.28,0.61093,-0.8738
101.32,0.59758,-0.87781
101.36,0.58249,-0.88089
101.4,0.56569,-0.88401
101.44,0.54727,-0.88575
101.48,0.5273,-0.88747
101.52,0.50587,-0.8886
101.56,0.48306,-0.88904
101.6,0.45897,-0.88958
101.64,0.43369,-0.88875
101.68,0.40732,-0.88802
101.72,0.37998,-0.88654
101.76,0.35176,-0.88444
101.8,0.32278,-0.88223
101.84,0.29315,-0.87856
101.88,0.26297,-0.87484
101.92,0.23237,-0.87005
101.96,0.20144,-0.86454
102,0.1703,-0.8585
102.04,0.13905,-0.85083
102.08,0.10779,-0.84277
102.12,0.076628,-0.83321
102.16,0.045645,-0.82274
102.2,0.014932,-0.8112
102.24,-0.015427,-0.79786
102.28,-0.045358,-0.78372
102.32,-0.07479,-0.76765
102.36,-0.10366,-0.75049
102.4,-0.13191,-0.73174
102.44,-0.1595,-0.7111
102.48,-0.18638,-0.68932
102.52,-0.21252,-0.66531
102.56,-0.23789,-0.64015
102.6,-0.26247,-0.61303
102.64,-0.28625,-0.58412
102.68,-0.30921,-0.55392
102.72,-0.33136,-0.52141
102.76,-0.35269,-0.48792
102.8,-0.37322,-0.45238
102.84,-0.39296,-0.41538
102.88,-0.41192,-0.37724
102.92,-0.43012,-0.337
102.96,-0.44759,-0.29622
103,-0.46435,-0.25366
103.04,-0.48043,-0.21022
103.08,-0.49586,-0.1661
103.12,-0.51066,-0.12044
103.16,-0.52487,-0.074913
103.2,-0.53852,-0.028229
103.24,-0.55163,0.018523
103.28,-0.56424,0.065213
103.32,-0.57637,0.11258
103.36,-0.58804,0.15899
103.4,-0.59928,0.20563
103.44,-0.61011,0.25138
103.48,-0.62055,0.29616
103.52,-0.6306,0.34057
103.56,-0.64028,0.3831
103.6,-0.6496,0.42481
103.64,-0.65856,0.46465
103.68,-0.66714,0.50258
103.72,-0.67536,0.53903
103.76,-0.68319,0.57281
103.8,-0.69063,0.60471
103.84,-0.69765,0.63388
103.88,-0.70422,0.66037
103.92,-0.71033,0.68439
103.96,-0.71593,0.70517
104,-0.721,0.72325
104.04,-0.7255,0.73799
104.08,-0.72938,0.74958
104.12,-0.73261,0.758
104.16,-0.73513,0.763
104.2,-0.73691,0.76481
104.24,-0.73788,0.76306
104.28,-0.73801,0.75811
104.32,-0.73725,0.7497
104.36,-0.73553,0.73811
104.4,-0.73282,0.7233
104.44,-0.72907,0.70512
104.48,-0.72422,0.68417
104.52,-0.71824,0.65989
104.56,-0.71109,0.6331
104.6,-0.70271,0.60352
104.64,-0.69308,0.57114
104.68,-0.68216,0.5368
104.72,-0.66992,0.4997
104.76,-0.65633,0.46105
104.8,-0.64138,0.42039
104.84,-0.62505,0.37782
104.88,-0.60733,0.33434
104.92,-0.58821,0.28892
104.96,-0.56768,0.24309
105,-0.54576,0.19621
105.04,-0.52245,0.14844
105.08,-0.49776,0.10086
105.12,-0.47172,0.052271
105.16,-0.44435,0.0043718
105.2,-0.41568,-0.043639
105.24,-0.38575,-0.091548
105.28,-0.3546,-0.13832
105.32,-0.32228,-0.18523
105.36,-0.28883,-0.23057
105.4,-0.25432,-0.27526
105.44,-0.21882,-0.31902
105.48,-0.18238,-0.361
105.52,-0.14509,-0.40244
105.56,-0.10702,-0.44174
105.6,-0.068264,-0.47991
105.64,-0.028904,-0.51658
105.68,0.010963,-0.5512
105.72,0.051239,-0.58483
105.76,0.091819,-0.61611
105.8,0.1326,-0.64609
105.84,0.17346,-0.67425
105.88,0.21429,-0.70042
105.92,0.25498,-0.72542
105.96,0.2954,-0.74813
106,0.33542,-0.76964
106.04,0.37493,-0.78922
106.08,0.41379,-0.80712
106.12,0.45187,-0.82382
106.16,0.48906,-0.83852
106.2,0.52521,-0.85224
106.24,0.56019,-0.86407
106.28,0.59389,-0.87463
106.32,0.62618,-0.88405
106.36,0.65692,-0.89181
106.4,0.68601,-0.89884
106.44,0.71332,-0.90407
106.48,0.73873,-0.90842
106.52,0.76215,-0.91166
106.56,0.78346,-0.91357
106.6,0.80257,-0.91488
106.64,0.81939,-0.91446
106.68,0.83382,-0.91344
106.72,0.84581,-0.91123
106.76,0.85527,-0.90794
106.8,0.86215,-0.90399
106.84,0.86639,-0.89837
106.88,0.86797,-0.8922
106.92,0.86684,-0.88469
106.96,0.86299,-0.87619
107,0.85641,-0.86684
107.04,0.84711,-0.85578
107.08,0.8351,-0.8441
107.12,0.8204,-0.83081
107.16,0.80306,-0.81656
107.2,0.78312,-0.80111
107.24,0.76064,-0.78393
107.28,0.7357,-0.76595
107.32,0.70837,-0.74606
107.36,0.67876,-0.72521
107.4,0.64696,-0.7028
107.44,0.61308,-0.67869
107.48,0.57724,-0.65357
107.52,0.53958,-0.62634
107.56,0.50022,-0.59819
107.6,0.45931,-0.5682
107.64,0.417,-0.53666
107.68,0.37344,-0.50402
107.72,0.32877,-0.4692
107.76,0.28316,-0.43367
107.8,0.23676,-0.39618
107.84,0.18973,-0.35747
107.88,0.14223,-0.31777
107.92,0.09441,-0.27606
107.96,0.046421,-0.23401
108,-0.0015891,-0.19017
108.04,-0.049477,-0.14565
108.08,-0.097105,-0.10046
108.12,-0.14434,-0.05373
108.16,-0.19106,-0.0072194
108.2,-0.23715,0.040611
108.24,-0.28249,0.088389
108.28,-0.32699,0.13626
108.32,-0.37054,0.18495
108.36,-0.41306,0.23269
108.4,-0.45447,0.28101
108.44,-0.4947,0.3284
108.48,-0.53367,0.37513
108.52,-0.57133,0.42174
108.56,-0.60764,0.4666
108.6,-0.64253,0.5111
108.64,-0.67598,0.55375
108.68,-0.70793,0.5949
108.72,-0.73837,0.6349
108.76,-0.76726,0.67237
108.8,-0.79458,0.70852
108.84,-0.8203,0.74193
108.88,-0.8444,0.77309
108.92,-0.86686,0.80209
108.96,-0.88766,0.82797
109,-0.90677,0.85166
109.04,-0.92418,0.87192
109.08,-0.93987,0.88939
109.12,-0.9538,0.9039
109.16,-0.96596,0.915
109.2,-0.97631,0.92328
109.24,-0.98484,0.92777
109.28,-0.9915,0.92927
109.32,-0.99627,0.92735
109.36,-0.99912,0.92208
109.4,-1,0.91377
109.44,-0.99888,0.90169
109.48,-0.99574,0.88683
109.52,-0.99052,0.86849
109.56,-0.9832,0.84729
109.6,-0.97375,0.82325
109.64,-0.96213,0.79584
109.68,-0.94832,0.76629
109.72,-0.9323,0.7336
109.76,-0.91404,0.69887
109.8,-0.89353,0.66191
109.84,-0.87076,0.62231
109.88,-0.84574,0.58149
109.92,-0.81846,0.53823
109.96,-0.78895,0.49398
110,-0.75723,0.44836
110.04,-0.72332,0.40105
110.08,-0.68728,0.3536
110.12,-0.64914,0.30458
110.16,-0.60898,0.25569
110.2,-0.56687,0.20636
110.24,-0.52288,0.15638
110.28,-0.47712,0.10726
110.32,-0.42968,0.057483
110.36,-0.38068,0.0088398
110.4,-0.33025,-0.03941
110.44,-0.27852,-0.087363
110.48,-0.22562,-0.13368
110.52,-0.17172,-0.17987
110.56,-0.11698,-0.22419
110.6,-0.061563,-0.26753
110.64,-0.0056443,-0.30983
110.68,0.050592,-0.35006
110.72,0.10696,-0.38963
110.76,0.16326,-0.42692
110.8,0.21931,-0.46298
110.84,0.27489,-0.49753
110.88,0.32982,-0.52997
110.92,0.38389,-0.56148
110.96,0.43689,-0.59066
111,0.48863,-0.6187
111.04,0.53889,-0.64501
111.08,0.5875,-0.66953
111.12,0.63424,-0.69311
111.16,0.67892,-0.7146
111.2,0.72137,-0.73529
111.24,0.7614,-0.75427
111.28,0.79883,-0.77198
111.32,0.83351,-0.78893
111.36,0.86527,-0.80421
111.4,0.89398,-0.81917
111.44,0.91948,-0.83254
111.48,0.94167,-0.84526
111.52,0.96043,-0.85747
111.56,0.97567,-0.86846
111.6,0.9873,-0.87958
111.64,0.99527,-0.88926
111.68,0.99951,-0.89885
111.72,1,-0.90808
111.76,0.99673,-0.91647
111.8,0.9897,-0.92528
111.84,0.97893,-0.93273
111.88,0.96447,-0.94041
111.92,0.94638,-0.94776
111.96,0.92473,-0.95444
112,0.89963,-0.96157
112.04,0.8712,-0.96729
112.08,0.83957,-0.97329
112.12,0.80489,-0.97873
112.16,0.76733,-0.9835
112.2,0.72709,-0.98842
112.24,0.68434,-0.99174
112.28,0.63932,-0.99509
112.32,0.59225,-0.99746
112.36,0.54334,-0.99892
112.4,0.49286,-1
112.44,0.44104,-0.99917
112.48,0.38813,-0.99791
112.52,0.33439,-0.99506
112.56,0.28008,-0.991
112.6,0.22544,-0.98582
112.64,0.17072,-0.97842
112.68,0.11616,-0.97001
112.72,0.061995,-0.9594
112.76,0.0084529,-0.94726
112.8,-0.044258,-0.93327
112.84,-0.095937,-0.91683
112.88,-0.1464,-0.89888
112.92,-0.19547,-0.87822
112.96,-0.24301,-0.85585
113,-0.28887,-0.83109
113.04,-0.33293,-0.80383
113.08,-0.37509,-0.7748
113.12,-0.41528,-0.74281
113.16,-0.45342,-0.70921
113.2,-0.48946,-0.67299
113.24,-0.52338,-0.63454
113.28,-0.55517,-0.59439
113.32,-0.58482,-0.55141
113.36,-0.61236,-0.50727
113.4,-0.63782,-0.46071
113.44,-0.66124,-0.41252
113.48,-0.68269,-0.36314
113.52,-0.70223,-0.31147
113.56,-0.71995,-0.25941
113.6,-0.73592,-0.20562
113.64,-0.75026,-0.15111
113.68,-0.76305,-0.096271
113.72,-0.7744,-0.040121
113.76,-0.78442,0.015399
113.8,-0.79321,0.071579
113.84,-0.80088,0.12734
113.88,-0.80754,0.18229
113.92,-0.81329,0.23731
113.96,-0.81823,0.29055
114,-0.82245,0.34314
114.04,-0.82604,0.39409
114.08,-0.82908,0.44303
114.12,-0.83164,0.49067
114.16,-0.83378,0.53545
114.2,-0.83557,0.57826
114.24,-0.83704,0.61831
114.28,-0.83823,0.65528
114.32,-0.83917,0.68969
114.36,-0.83987,0.72044
114.4,-0.84034,0.74809
114.44,-0.84056,0.77214
114.48,-0.84054,0.7924
114.52,-0.84024,0.80915
114.56,-0.83963,0.82185
114.6,-0.83867,0.83075
114.64,-0.83731,0.83563
114.68,-0.83551,0.83653
114.72,-0.83319,0.83344
114.76,-0.8303,0.82643
114.8,-0.82676,0.8155
114.84,-0.82251,0.80061
114.88,-0.81746,0.78215
114.92,-0.81154,0.75976
114.96,-0.80468,0.73413
115,-0.79679,0.70502
115.04,-0.78781,0.67254
115.08,-0.77767,0.63741
115.12,-0.76629,0.59896
115.16,-0.75362,0.55839
115.2,-0.73958,0.51529
115.24,-0.72413,0.46979
115.28,-0.70723,0.42296
115.32,-0.68881,0.37382
115.36,-0.66887,0.32392
115.4,-0.64736,0.27276
115.44,-0.62427,0.22042
115.48,-0.59958,0.16819
115.52,-0.5733,0.11487
115.56,-0.54544,0.062191
115.6,-0.516,0.0095999
115.64,-0.48501,-0.042953
115.68,-0.45251,-0.094034
115.72,-0.41853,-0.14499
115.76,-0.38313,-0.1941
115.8,-0.34636,-0.24193
115.84,-0.30829,-0.28866
115.88,-0.269,-0.33288
115.92,-0.22857,-0.37593
115.96,-0.18708,-0.41632
116,-0.14464,-0.45454
116.04,-0.10134,-0.49089
116.08,-0.057288,-0.52412
116.12,-0.012606,-0.55549
116.16,0.03259,-0.58378
116.2,0.078178,-0.60947
116.24,0.12403,-0.63284
116.28,0.17001,-0.653
116.32,0.21599,-0.67093
116.36,0.26184,-0.68585
116.4,0.3074,-0.69812
116.44,0.35255,-0.70802
116.48,0.39713,-0.71502
116.52,0.44101,-0.71981
116.56,0.48404,-0.722
116.6,0.52609,-0.72189
116.64,0.567,-0.71991
116.68,0.60664,-0.7154
116.72,0.64486,-0.70845
116.76,0.68154,-0.69982
116.8,0.71653,-0.69035
116.84,0.74971,-0.67963
116.88,0.78094,-0.66628
116.92,0.81012,-0.64998
116.96,0.83711,-0.63337
117,0.86182,-0.61862
117.04,0.88413,-0.60358
117.08,0.90395,-0.58458
117.12,0.92118,-0.56095
117.16,0.93575,-0.5392
117.2,0.94759,-0.52424
117.24,0.95663,-0.51067
117.28,0.96281,-0.48899
117.32,0.9661,-0.45765
117.36,0.96646,-0.43164
117.4,0.96387,-0.42433
117.44,0.95832,-0.42508
117.48,0.94982,-0.40386
117.52,0.93837,-0.33876
117.56,0.92402,-0.24677
